Time,Node,AppId,SeqNo,Type,DelayS,DelayUS,RetxCount,HopCount
0.585192,rtr-34,0,19,LastDelay,0.005192,5192,1,1
0.585192,rtr-34,0,19,FullDelay,0.495192,495192,2,1
0.588933,rtr-30,0,19,LastDelay,0.418933,418933,1,3
0.588933,rtr-30,0,19,FullDelay,0.418933,418933,1,3
0.588933,rtr-5,0,19,LastDelay,0.498933,498933,1,3
0.588933,rtr-5,0,19,FullDelay,0.498933,498933,1,3
0.588933,rtr-29,0,19,LastDelay,0.198933,198933,1,3
0.588933,rtr-29,0,19,FullDelay,0.198933,198933,1,3
0.590803,rtr-28,0,19,LastDelay,0.330803,330803,1,4
0.590803,rtr-28,0,19,FullDelay,0.330803,330803,1,4
0.590803,rtr-6,0,19,LastDelay,0.130803,130803,1,4
0.590803,rtr-6,0,19,FullDelay,0.210803,210803,3,4
0.590803,rtr-16,0,19,LastDelay,0.220803,220803,1,4
0.590803,rtr-16,0,19,FullDelay,0.310803,310803,2,4
0.590803,rtr-37,0,19,LastDelay,0.490803,490803,1,4
0.590803,rtr-37,0,19,FullDelay,0.490803,490803,1,4
0.592674,rtr-21,0,19,LastDelay,0.432674,432674,1,5
0.592674,rtr-21,0,19,FullDelay,0.432674,432674,1,5
0.592674,rtr-8,0,19,LastDelay,0.242674,242674,1,5
0.592674,rtr-8,0,19,FullDelay,0.582674,582674,2,5
0.592674,rtr-10,0,19,LastDelay,0.0326736,32673.6,1,5
0.592674,rtr-10,0,19,FullDelay,0.0326736,32673.6,1,5
0.592674,rtr-24,0,19,LastDelay,0.492674,492674,1,5
0.592674,rtr-24,0,19,FullDelay,0.492674,492674,1,5
0.594544,rtr-23,0,19,LastDelay,0.164544,164544,1,6
0.594544,rtr-23,0,19,FullDelay,0.534544,534544,4,6
0.594544,rtr-25,0,19,LastDelay,0.204544,204544,1,6
0.594544,rtr-25,0,19,FullDelay,0.394544,394544,2,6
0.596414,rtr-12,0,19,LastDelay,0.0664144,66414.4,1,7
0.596414,rtr-12,0,19,FullDelay,0.476414,476414,2,7
0.596414,rtr-19,0,19,LastDelay,0.0764144,76414.4,1,7
0.596414,rtr-19,0,19,FullDelay,0.0764144,76414.4,1,7
0.61,rtr-2,0,19,LastDelay,0,0,1,6
0.61,rtr-2,0,19,FullDelay,0,0,1,6
0.63,rtr-23,0,19,LastDelay,0,0,1,6
0.63,rtr-23,0,19,FullDelay,0,0,1,6
0.71,rtr-15,0,19,LastDelay,0,0,1,4
0.71,rtr-15,0,19,FullDelay,0,0,1,4
0.72,rtr-24,0,19,LastDelay,0,0,1,5
0.72,rtr-24,0,19,FullDelay,0,0,1,5
0.73,rtr-3,0,19,LastDelay,0,0,1,2
0.73,rtr-3,0,19,FullDelay,0,0,1,2
0.73,rtr-4,0,19,LastDelay,0,0,1,4
0.73,rtr-4,0,19,FullDelay,0,0,1,4
0.8,rtr-1,0,19,LastDelay,0,0,1,3
0.8,rtr-1,0,19,FullDelay,0,0,1,3
0.8,rtr-8,0,19,LastDelay,0,0,1,5
0.8,rtr-8,0,19,FullDelay,0,0,1,5
0.81,rtr-22,0,19,LastDelay,0,0,1,5
0.81,rtr-22,0,19,FullDelay,0,0,1,5
0.81,rtr-25,0,19,LastDelay,0,0,1,6
0.81,rtr-25,0,19,FullDelay,0,0,1,6
0.83,rtr-31,0,19,LastDelay,0,0,1,5
0.83,rtr-31,0,19,FullDelay,0,0,1,5
0.84,rtr-37,0,19,LastDelay,0,0,1,4
0.84,rtr-37,0,19,FullDelay,0,0,1,4
0.87,rtr-24,0,19,LastDelay,0,0,1,5
0.87,rtr-24,0,19,FullDelay,0,0,1,5
0.97887,rtr-13,0,19,LastDelay,0.0088704,8870.4,1,7
0.97887,rtr-13,0,19,FullDelay,0.0088704,8870.4,1,7
1.02,rtr-6,0,19,LastDelay,0,0,1,4
1.02,rtr-6,0,19,FullDelay,0,0,1,4
1.09,rtr-16,0,19,LastDelay,0,0,1,4
1.09,rtr-16,0,19,FullDelay,0,0,1,4
1.09,rtr-28,0,19,LastDelay,0,0,1,4
1.09,rtr-28,0,19,FullDelay,0,0,1,4
1.11,rtr-4,0,19,LastDelay,0,0,1,4
1.11,rtr-4,0,19,FullDelay,0,0,1,4
1.11,rtr-21,0,19,LastDelay,0,0,1,5
1.11,rtr-21,0,19,FullDelay,0,0,1,5
1.1296,rtr-34,0,40,LastDelay,0.0596,59600,1,1
1.1296,rtr-34,0,40,FullDelay,0.1096,109600,2,1
1.13334,rtr-1,0,40,LastDelay,0.0833408,83340.8,1,3
1.13334,rtr-1,0,40,FullDelay,0.563341,563341,3,3
1.13334,rtr-29,0,40,LastDelay,0.373341,373341,1,3
1.13334,rtr-29,0,40,FullDelay,1.07334,1.07334e+06,4,3
1.13521,rtr-2,0,40,LastDelay,0.0152112,15211.2,1,4
1.13521,rtr-2,0,40,FullDelay,0.0652112,65211.2,2,4
1.13521,rtr-4,0,40,LastDelay,0.175211,175211,1,4
1.13521,rtr-4,0,40,FullDelay,0.955211,955211,2,4
1.13521,rtr-6,0,40,LastDelay,0.305211,305211,1,4
1.13521,rtr-6,0,40,FullDelay,0.575211,575211,2,4
1.13521,rtr-9,0,40,LastDelay,0.305211,305211,1,4
1.13521,rtr-9,0,40,FullDelay,0.305211,305211,1,4
1.13528,rtr-16,0,40,LastDelay,0.505278,505278,1,4
1.13528,rtr-16,0,40,FullDelay,0.505278,505278,1,4
1.13708,rtr-8,0,40,LastDelay,0.0570816,57081.6,1,5
1.13708,rtr-8,0,40,FullDelay,0.707082,707082,4,5
1.13708,rtr-22,0,40,LastDelay,0.0770816,77081.6,1,5
1.13708,rtr-22,0,40,FullDelay,1.10708,1.10708e+06,3,5
1.13708,rtr-21,0,40,LastDelay,0.127082,127082,1,5
1.13708,rtr-21,0,40,FullDelay,0.127082,127082,1,5
1.13708,rtr-10,0,40,LastDelay,0.227082,227082,1,5
1.13708,rtr-10,0,40,FullDelay,0.227082,227082,1,5
1.13708,rtr-14,0,40,LastDelay,1.05708,1.05708e+06,1,5
1.13708,rtr-14,0,40,FullDelay,1.05708,1.05708e+06,1,5
1.13708,rtr-26,0,40,LastDelay,0.437082,437082,1,5
1.13708,rtr-26,0,40,FullDelay,0.437082,437082,1,5
1.14082,rtr-20,0,40,LastDelay,0.0408224,40822.4,1,7
1.14082,rtr-20,0,40,FullDelay,0.240822,240822,3,7
1.14082,rtr-18,0,40,LastDelay,0.850822,850822,1,7
1.14082,rtr-18,0,40,FullDelay,0.850822,850822,1,7
1.14082,rtr-13,0,40,LastDelay,0.940822,940822,1,7
1.14082,rtr-13,0,40,FullDelay,0.940822,940822,1,7
1.14269,rtr-25,0,40,LastDelay,0.482693,482693,1,8
1.14269,rtr-25,0,40,FullDelay,0.482693,482693,1,8
1.14456,rtr-19,0,40,LastDelay,0.354563,354563,1,9
1.14456,rtr-19,0,40,FullDelay,0.924563,924563,3,9
1.16,rtr-30,0,40,LastDelay,0,0,1,3
1.16,rtr-30,0,40,FullDelay,0,0,1,3
1.19,rtr-20,0,19,LastDelay,0,0,1,6
1.19,rtr-20,0,19,FullDelay,0,0,1,6
